atom,pp_file_name,nexclude,orbitals,ecutwfc,ecutrho
Pt,Pt.pbe-n-rrkjus_psl.0.1,0,spd,39.0,401.0
Au,Au.pbe-dn-rrkjus_psl.0.3.0,0,spd,26.0,357.0
Hg,Hg.pbe-dn-rrkjus_psl.0.2.2,0,spd,29.0,119.0
Tl,Tl.pbe-dn-rrkjus_psl.0.2.3,5,sp,35.0,150.0
Pb,Pb.pbe-dn-rrkjus_psl.0.2.2,5,sp,40.0,158.0
Bi,Bi.pbe-dn-rrkjus_psl.0.2.2,6,p,31.0,443.0
Po,Po.pbe-dn-rrkjus_psl.0.3.1,6,p,53.0,447.0
At,At.pbe-dn-rrkjus_psl.0.3.1,6,p,63.0,463.0
Rn,Rn.pbe-dn-rrkjus_psl.0.3.1,6,p,57.0,465.0
Fr,,,,,
Ra,,,,,
Ac,,,,,
Th,,,,,
Pa,,,,,
U,,,,,
Np,,,,,
Pu,,,,,
Am,,,,,
Cm,,,,,
Bk,,,,,
Cf,,,,,
Es,,,,,
Fm,,,,,
Md,,,,,
No,,,,,
Lr,,,,,
Rf,,,,,
Db,,,,,
Sg,,,,,
Bh,,,,,
Hs,,,,,
Mt,,,,,
